人民币,长江传媒,广电网络,中文传媒,时代出版,春兰股份,厦华电子,惠而浦,澳柯玛,均胜电子,曙光股份,易见股份,海正药业,中恒集团,复星医药,江苏吴中,大唐电信,大恒科技,信威集团,康欣新材
0.0,0.0,0.0,0.0,0.0,0.0,4.261799801952293e-07,4.66419857075883e-16,0.0,0.9999995231628418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.911052688978553e-32,0.0,7.817450853320196e-11,1.0779021860481974e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2960538338516612e-28,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3.4871799465279494e-19,0.00045055689406581223,0.0,0.9995494484901428,4.978785446128128e-30,1.6615902504657783e-35,0.0,0.0,0.0,0.0,1.4384626309882436e-29,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.142992101729276e-13,5.809725801570603e-14,0.0,1.0,1.893060338305718e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.89008948466786e-36,0.0,5.296343225102973e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.495147679151802e-33,0.0
0.0,0.0,0.0,0.0,0.0,3.510264984560153e-37,0.9999997615814209,2.1286924011349577e-23,0.0,2.0684825585703948e-07,4.238467285420933e-31,4.274631145791534e-37,0.0,0.0,0.0,0.0,3.462897624295008e-33,0.0,9.751075493850672e-38,0.0
0.0,4.849042443977391e-37,3.514189180779648e-38,0.0,0.0,2.452413709564597e-28,0.9999998807907104,4.795896155380225e-22,9.624812287176057e-35,6.433916155401675e-08,3.8697946414546714e-25,1.2535592127790398e-29,5.1027152226060056e-36,0.0,8.658938147931094e-30,0.0,3.2128349850758258e-27,0.0,5.852945534569372e-22,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.558386545831794e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2379722228134236e-21,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.047143680578461e-12,4.2402676015589405e-14,0.0,1.0,1.3413539921513903e-35,0.0,0.0,0.0,0.0,0.0,3.46029154241377e-36,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.7670478258419588e-28,0.0,0.0,1.0,0.0,1.4217189811436903e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.3748433001867927e-13,1.4447211924561998e-06,0.0,0.9999985694885254,2.7193862802035783e-31,1.5603263619770297e-38,0.0,0.0,0.0,0.0,1.1746550478558004e-31,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.853204071521759,5.041402815925306e-20,0.0,0.14679591357707977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.1859839922112853e-31,0.11151153594255447,0.0,0.8884884715080261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.751318290370078e-32,0.9999963045120239,0.0,3.716269247888704e-06,5.872521820868522e-35,0.0,0.0,0.0,0.0,0.0,1.4837770197105444e-33,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.217464876874868e-37,0.0,4.205685279201621e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.9999998807907104,3.283372453617582e-34,0.0,1.6656905188483506e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2499501630033712e-31,9.995333665064152e-22,4.802511669149153e-23,1.247712435533417e-29,1.3033217377243727e-17,9.087794984395462e-18,0.0029371646232903004,1.6855075273269904e-06,4.388420107274381e-19,0.9970610737800598,2.5576214052452223e-14,6.196370925709818e-17,2.6694731571860162e-24,2.2827733538731367e-31,3.879133125828105e-11,1.2750464971956867e-30,4.453525594908924e-15,5.18196186877263e-33,1.357589299087405e-32,1.2412075413185655e-31
0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.745390157961051e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.483586942185866e-07,0.0,0.0,0.9999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.420720936822022e-36,2.6603658512258654e-11,5.449510354083031e-07,1.5994290631305973e-36,0.9999994039535522,2.4801309229522403e-26,1.3562668091680123e-31,0.0,0.0,0.0,0.0,1.5027267147051669e-26,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.398872805802129e-36,0.0,7.773920396303424e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.098584771274229e-29,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4945025056739354e-32,0.0,4.6082970328598094e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4857323177798931e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1119519051592133e-23,0.0
0.0,9.540964550638392e-32,5.40954510560251e-34,0.0,9.09268089955133e-22,4.5243626549174176e-27,5.403735185011138e-13,0.2640038728713989,5.2787174745117e-25,0.7359960675239563,2.627366024833939e-19,4.52487238910098e-23,1.7857773830187513e-35,0.0,2.906546139752801e-32,0.0,3.203142667789491e-19,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.117264251230935e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
